pdb_id,model_id,chain,extra
6DME,1,A,NA
6DN1,1,Z,NA
6DN2,1,Y,NA
6DN3,1,Y,NA
6DNR,1,A,NA
6E1S,1,A,NA
6E1T,1,A,NA
6E1U,1,A,NA
6E1V,1,A,NA
6E1W,1,A,NA
6E8S,1,A,NA
6E8S,1,B,NA
6E8T,1,A,NA
6E8T,1,B,NA
6E8T,1,C,NA
6E8U,1,B,NA
6FZ0,1,A,NA
6G7Z,1,A,NA
6GYV,1,A,NA
6JJH,1,B,NA
6JJI,1,B,NA
6JQ6,1,U,NA
6JXM,1,B,NA
6MJ0,1,A,NA
6MJ0,1,B,NA
6N5K,1,A,NA
6N5N,1,A,NA
6N5O,1,A,NA
6N5P,1,A,NA
6N5Q,1,A,NA
6N5S,1,A,NA
6N5T,1,A,NA
6OL3,1,C,NA
6P2H,1,A,NA
6PMO,1,A,NA
6PMO,1,B,NA
6PRV,1,A,NA
6PRV,1,B,NA
6PRV,1,C,NA
6Q57,1,A,NA
6QIS,1,A,NA
6R47,1,A,NA
6SVS,1,A,NA
6SVS,1,B,NA
6T3K,1,A,NA
6T3N,1,A,NA
6T3R,1,A,NA
6T3S,1,A,NA
6TB7,1,A,NA
6TF0,1,A,NA
6TF1,1,A,NA
6TF2,1,A,NA
6TF3,1,A,NA
6TFE,1,A,NA
6TFF,1,A,NA
6TFG,1,A,NA
6TFH,1,A,NA
6TNA,1,A,NA
6UBU,1,B,NA
6UC7,1,B,NA
6UC8,1,B,NA
6UC9,1,B,NA
6UES,1,A,NA
6UEY,1,A,NA
6UEY,1,C,NA
6UF1,1,A,NA
6UF1,1,C,NA
6UFJ,1,A,NA
6UFJ,1,C,NA
6UFK,1,A,NA
6UFK,1,C,NA
6UFM,1,A,NA
6UFM,1,B,NA
6UGG,1,A,NA
6UGG,1,B,NA
6UP0,1,C,NA
6UP0,1,D,NA
6VMY,1,A,NA
6VUH,1,A,NA
6VUI,1,A,NA
6VWT,1,A,NA
6VWT,1,B,NA
6VWV,1,A,NA
6VWV,1,B,NA
6WJR,1,X,NA
6WJS,1,X,NA
6WTL,1,A,NA
6WTR,1,A,NA
6WZR,1,A,NA
6WZR,1,B,NA
6WZS,1,A,NA
6WZS,1,B,NA
6XKN,1,A,NA
6XKO,1,A,NA
6XRQ,1,A,NA
6XRQ,1,B,NA
6Y3G,1,F,NA
7D7W,1,A,NA
7D7X,1,A,NA
7D7Y,1,A,NA
7D7Z,1,A,NA
7E9E,1,A,NA
7E9I,1,A,NA
7EAF,1,A,NA
7ELP,1,A,NA
7ELP,1,B,NA
7ELQ,1,A,NA
7ELQ,1,B,NA
7ELR,1,A,NA
7ELR,1,B,NA
7ELS,1,A,NA
7ELS,1,B,NA
7EQJ,1,A,NA
7EQJ,1,B,NA
7EZ0,1,N,NA
7JJU,1,A,NA
7JRS,1,B,NA
7K16,1,P,NA
7KD1,1,A,NA
7KJU,1,A,NA
7KVT,1,B,NA
7KVU,1,G,NA
7KVV,1,D,NA
7LYF,1,A,NA
7LYG,1,A,NA
7LYJ,1,A,NA
7MKY,1,A,NA
7MLW,1,F,NA
7REX,1,A,NA
7REX,1,B,NA
7REX,1,C,NA
7U4A,1,A,NA
7UQ6,1,B,NA
7UR5,1,v,NA
7UR5,1,w,NA
7UR5,1,y,NA
7URI,1,y,NA
7URM,1,v,NA
7UVT,1,A,NA
7UZ0,1,A,NA
7VNV,1,A,NA
7VNV,1,B,NA
7VNW,1,A,NA
7VNW,1,B,NA
7XD4,1,N,NA
7XD5,1,N,NA
7XD7,1,N,NA
7XSK,1,N,NA
7XSL,1,N,NA
7XSN,1,N,NA
7YG8,1,N,NA
7YG9,1,N,NA
7YGD,1,N,NA
7ZFW,1,L5,NA
8FB3,1,A,NA
8FB3,1,B,NA
8FB3,1,C,NA
8FZA,1,A,NA
8FZA,1,B,NA
8HB1,1,B,NA
8HB3,1,B,NA
8HB8,1,A,NA
8HBA,1,A,NA
8HBA,1,B,NA
8HD6,1,N,NA
8HD7,1,N,NA
8I3Z,1,B,NA
8I7N,1,N,NA
8K0P,1,A,NA
8K0P,1,C,NA
8K0S,1,A,NA
8K0S,1,C,NA
8K0Y,1,A,NA
8K0Y,1,B,NA
8K15,1,C,NA
8K1E,1,A,NA
8K2Z,1,A,NA
8K2Z,1,B,NA
8K30,1,A,NA
8K30,1,B,NA
8KEB,1,A,NA
8KED,1,A,NA
8KHH,1,A,NA
8KHH,1,B,NA
8OLS,1,A,NA
8OLV,1,A,NA
8OLW,1,A,NA
8OLY,1,A,NA
8OLZ,1,A,NA
8OM0,1,A,NA
8Q6N,1,A,NA
8RUI,1,A,NA
8RUJ,1,A,NA
8RUL,1,A,NA
8RUM,1,A,NA
8RUN,1,A,NA
8S95,1,C,NA
8SA3,1,A,NA
8SA3,1,B,NA
8SA4,1,A,NA
8SP9,1,C,NA
8SYK,1,A,NA
8SYK,1,B,NA
8SYK,1,C,NA
8SYK,1,D,NA
8T5O,1,A,NA
8TJQ,1,N,NA
8TJU,1,A,NA
8TJV,1,A,NA
8TJX,1,N,NA
8TKJ,1,A,NA
8TKK,1,A,NA
8TOZ,1,A,NA
8U5J,1,A,NA
8UO6,1,A,NA
8UO6,1,B,NA
8UPT,1,A,NA
8UPY,1,C,NA
8V1H,1,A,NA
8V1I,1,A,NA
8V1I,1,B,NA
8VPV,1,A,NA
8VT5,1,A,NA
8X0S,1,A,NA
8X0S,1,B,NA
8XTQ,1,A,NA
8XTS,1,A,NA
8YAM,1,A,NA
8YAN,1,A,NA
9BUN,1,A,NA
9BUN,1,B,NA
9BUN,1,C,NA
9BUN,1,D,NA
9BZ1,1,A,NA
9BZ1,1,B,NA
9BZC,1,A,NA
9C6I,1,A,NA
9C6J,1,A,NA
9CBU,1,N,NA
9CBW,1,N,NA
9CBX,1,N,NA
9CBY,1,N,NA
9CXF,1,A,NA
9DXL,1,A,NA
9DXL,1,B,NA
9FN2,1,A,NA
9FN2,1,B,NA
9FN3,1,A,NA
9FN3,1,B,NA
1DDY,1,1,NA
1DDY,1,1,NA
1DDY,1,1,NA
1DDY,1,1,NA
1ET4,1,1,NA
1ET4,1,1,NA
1ET4,1,1,NA
1ET4,1,1,NA
1ET4,1,1,NA
1HR2,1,1,NA
1K9W,1,1,NA
1K9W,1,1,NA
1L2X,1,1,NA
1L3D,1,1,NA
1L8V,1,1,NA
1L8V,1,1,NA
1MME,1,1,NA
1MME,1,1,NA
1NTA,1,1,NA
1NTB,1,1,NA
1X8W,1,1,NA
1X8W,1,1,NA
1X8W,1,1,NA
1X9C,1,1,NA
1XP7,1,1,NA
1XPE,1,1,NA
1XPF,1,1,NA
1Y3O,1,1,NA
1Y3S,1,1,NA
1YKQ,1,1,NA
1YKQ,1,1,NA
1YKV,1,1,NA
1YKV,1,1,NA
1YLS,1,1,NA
1YLS,1,1,NA
1YXP,1,1,NA
1ZCI,1,1,NA
1ZCI,1,1,NA
1ZFT,1,1,NA
1ZFV,1,1,NA
1ZFX,1,1,NA
299D,1,1,NA
2A2E,1,1,NA
2B57,1,1,NA
2B8R,1,1,NA
2B8S,1,1,NA
2BCY,1,1,NA
2D2K,1,1,NA
2D2L,1,1,NA
2EES,1,1,NA
2EET,1,1,NA
2EEU,1,1,NA
2EEV,1,1,NA
2EEW,1,1,NA
2FCX,1,1,NA
2FCY,1,1,NA
2FCZ,1,1,NA
2FCZ,1,1,NA
2FD0,1,1,NA
2FGP,1,1,NA
2G9C,1,1,NA
2GCS,1,1,NA
2GCV,1,1,NA
2GIS,1,1,NA
2H0W,1,1,NA
2H0X,1,1,NA
2HO6,1,1,NA
2HO7,1,1,NA
2IL9,1,1,NA
2IL9,1,1,NA
2NPY,1,1,NA
2OUE,1,1,NA
2P7D,1,1,NA
2P7D,1,1,NA
2P7E,1,1,NA
2P7E,1,1,NA
2P7F,1,1,NA
2PN3,1,1,NA
2QBZ,1,1,NA
2QUS,1,1,NA
2QUS,1,1,NA
2QUW,1,1,NA
2QUW,1,1,NA
2QWY,1,1,NA
2QWY,1,1,NA
2QWY,1,1,NA
2XO0,1,1,NA
2YIE,1,1,NA
300D,1,1,NA
301D,1,1,NA
359D,1,1,NA
379D,1,1,NA
3B31,1,1,NA
3B4A,1,1,NA
3B4B,1,1,NA
3B4C,1,1,NA
3B58,1,1,NA
3B5A,1,1,NA
3B5F,1,1,NA
3B5S,1,1,NA
3B91,1,1,NA
3BBI,1,1,NA
3BBK,1,1,NA
3BBM,1,1,NA
3CQS,1,1,NA
3CR1,1,1,NA
3D0U,1,1,NA
3D0X,1,1,NA
3DIG,1,1,NA
3DIL,1,1,NA
3DIM,1,1,NA
3DIO,1,1,NA
3DIQ,1,1,NA
3DIR,1,1,NA
3DIS,1,1,NA
3DIX,1,1,NA
3DIY,1,1,NA
3DIZ,1,1,NA
3DJ0,1,1,NA
3DJ2,1,1,NA
3DS7,1,1,NA
3DS7,1,1,NA
3F2Q,1,1,NA
3F2T,1,1,NA
3F2W,1,1,NA
3F2X,1,1,NA
3F2Y,1,1,NA
3F30,1,1,NA
3F4E,1,1,NA
3F4G,1,1,NA
3F4H,1,1,NA
3FO4,1,1,NA
3FO6,1,1,NA
3FU2,1,1,NA
3FU2,1,1,NA
3FU2,1,1,NA
3G4M,1,1,NA
3GAO,1,1,NA
3GER,1,1,NA
3GES,1,1,NA
3GOG,1,1,NA
3GOT,1,1,NA
3GX2,1,1,NA
3GX3,1,1,NA
3GX5,1,1,NA
3GX6,1,1,NA
3GX7,1,1,NA
3I2Q,1,1,NA
3I2R,1,1,NA
3I2S,1,1,NA
3I2U,1,1,NA
3IQN,1,1,NA
3IQP,1,1,NA
3IQR,1,1,NA
3K1V,1,1,NA
3MJ3,1,1,NA
3MJA,1,1,NA
3MJB,1,1,NA
3P59,1,1,NA
3RKF,1,1,NA
3RKF,1,1,NA
3RKF,1,1,NA
3RKF,1,1,NA
3SD3,1,1,NA
3SKI,1,1,NA
3SKI,1,1,NA
3SKL,1,1,NA
3SKL,1,1,NA
3SKR,1,1,NA
3SKR,1,1,NA
3SKT,1,1,NA
3SKT,1,1,NA
3SKW,1,1,NA
3SKW,1,1,NA
3SKZ,1,1,NA
3SKZ,1,1,NA
3SLM,1,1,NA
3SLM,1,1,NA
3SLQ,1,1,NA
3SLQ,1,1,NA
437D,1,1,NA
4FE5,1,1,NA
4FEJ,1,1,NA
4FEL,1,1,NA
4FEN,1,1,NA
4FEO,1,1,NA
4FEP,1,1,NA
4G6P,1,1,NA
4G6R,1,1,NA
4G6S,1,1,NA
4JRC,1,1,NA
4JRC,1,1,NA
4L81,1,1,NA
4LVV,1,1,NA
4LVW,1,1,NA
4LVX,1,1,NA
4LVY,1,1,NA
4LVZ,1,1,NA
4LW0,1,1,NA
4MGM,1,1,NA
4MGM,1,1,NA
4MGN,1,1,NA
4MGN,1,1,NA
4MGN,1,1,NA
4MGN,1,1,NA
4OQU,1,1,NA
4QJD,1,1,NA
4QJD,1,1,NA
4QJD,1,1,NA
4QJD,1,1,NA
4QJH,1,1,NA
4QJH,1,1,NA
4QJH,1,1,NA
4QK8,1,1,NA
4QKA,1,1,NA
5C45,1,1,NA
5EAO,1,1,NA
5EAQ,1,1,NA
5J02,1,1,NA
5KTJ,1,1,NA
5KTJ,1,1,NA
5KX9,1,1,NA
6CHR,1,1,NA
6JQ5,1,1,NA
6QN3,1,1,NA
6UEY,1,1,NA
6UEY,1,1,NA
6UF1,1,1,NA
6UF1,1,1,NA
6UFG,1,1,NA
6UFH,1,1,NA
6UFJ,1,1,NA
6UFJ,1,1,NA
6UFK,1,1,NA
6UFK,1,1,NA
6YL5,1,1,NA
6YL5,1,1,NA
6YL5,1,1,NA
6YL5,1,1,NA
6YL5,1,1,NA
6YL5,1,1,NA
6YLB,1,1,NA
6YLB,1,1,NA
6YLB,1,1,NA
6YLB,1,1,NA
6YLB,1,1,NA
6YLB,1,1,NA
6YMI,1,1,NA
6YMI,1,1,NA
6YMI,1,1,NA
6YMI,1,1,NA
6YMI,1,1,NA
6YMI,1,1,NA
6YMJ,1,1,NA
6YMJ,1,1,NA
6YMJ,1,1,NA
6YMJ,1,1,NA
6YMJ,1,1,NA
6YMJ,1,1,NA
6YMK,1,1,NA
6YMK,1,1,NA
6YMK,1,1,NA
6YMK,1,1,NA
6YMK,1,1,NA
6YMK,1,1,NA
6YML,1,1,NA
6YML,1,1,NA
6YMM,1,1,NA
6YMM,1,1,NA
7EZ2,1,1,NA
7JRT,1,1,NA
7KGA,1,1,NA
7XD6,1,1,NA
7YCG,1,1,NA
7YCH,1,1,NA
7YCI,1,1,NA
7YGA,1,1,NA
7YGB,1,1,NA
7YGC,1,1,NA
8K0P,1,1,NA
8K0S,1,1,NA
8SA2,1,1,NA
8SA5,1,1,NA
8X9K,1,1,NA
8X9L,1,1,NA
8X9M,1,1,NA
8X9N,1,1,NA
8X9O,1,1,NA
8X9Q,1,1,NA
8XTP,1,1,NA
8XTR,1,1,NA
8Z8U,1,1,NA
8Z9K,1,1,NA
8ZAU,1,1,NA
9G7C,1,5,NA
9IS7,1,1,NA
9ISV,1,1,NA
9J3T,1,1,NA
9J3T,1,1,NA
9J6Y,1,1,NA
9J6Y,1,1,NA
9J6Y,1,1,NA
9J6Y,1,1,NA
9J6Y,1,1,NA
9J6Y,1,1,NA
9KPH,1,1,NA
9KPO,1,1,NA
9LCR,1,1,NA
9LMF,1,1,NA
9LMF,1,1,NA
9LMF,1,1,NA
9LMF,1,1,NA
9LMF,1,1,NA
9LMF,1,1,NA
9LMF,1,1,NA
9LMF,1,1,NA
9LMF,1,1,NA
9LMF,1,1,NA
